sample_index,dice_score,iou_score,uncertainty,precision,recall,f1_score,specificity
175,0.988507091999054,0.9772453904151917,0.17452882,0.9918738049713193,0.9851632047477745,0.9885071160602632,0.9997319869580137
176,0.9896435737609863,0.9794674515724182,0.16937049,0.9898322318251144,0.9894549612501589,0.9896435605819938,0.9996853775233717
177,0.9860177636146545,0.9723876118659973,0.16405974,0.995250373184964,0.9769548421473292,0.9860177467061038,0.999862549429188
178,0.9747863411903381,0.9507785439491272,0.15853247,0.9959249017610246,0.9545264332542893,0.9747863247863248,0.9998901853083639
179,1.0,3.8146963561302982e-06,0.00014215699,0.0,0.0,0.0,0.9999999999961853
180,0.977623462677002,0.9561889171600342,0.15275319,0.9937254901960785,0.9620349278663629,0.9776234567901234,0.9998434803665696
181,0.9849864840507507,0.9703751802444458,0.14709152,0.9898287845397525,0.9801913714957193,0.9849865047233468,0.9997657960747431
182,0.9833424687385559,0.9671854972839355,0.14163691,0.9837026185680279,0.9829826166514181,0.9833424858136555,0.9996532634107206
183,0.9811320900917053,0.9629150032997131,0.13651733,0.9946756063892723,0.9679524083669161,0.9811320754716981,0.9998949142344506
184,0.9666051864624023,0.9353203773498535,0.13175313,0.9993645414107181,0.9359254116246777,0.9666052038516697,0.9999883315208302
185,0.9672403931617737,0.9365066289901733,0.12665226,0.9967956054016938,0.9393874029335634,0.9672404219877846,0.9999456327531574
186,0.983487606048584,0.9674496054649353,0.120572284,0.993680485338726,0.9735017335314512,0.9834876157117839,0.9999031405662793
187,0.9769319295883179,0.954833984375,0.113528684,0.9646924829157175,0.9894859813084113,0.9769319492502884,0.9995207173739968
188,0.9717787504196167,0.9450292587280273,0.10510937,0.9970218398411648,0.9477823214847436,0.971778745363651,0.9999652462649394
189,0.9372749924659729,0.881872296333313,0.0951599,0.9951710261569416,0.8857449856733525,0.9372749668372181,0.9999537308329993
190,1.0,3.8146963561302982e-06,0.0001527394,0.0,0.0,0.0,0.9999999999961853
191,0.9513457417488098,0.9070892930030823,0.08354106,0.9562955254942768,0.9464469618949537,0.9513457556935818,0.9996771738841373
192,0.9768049716949463,0.954502284526825,0.07423698,0.980327868852459,0.9733072916666666,0.9768049656974844,0.9998848845737663
193,0.9613970518112183,0.925449550151825,0.062802106,0.9466063348416289,0.976657329598506,0.9613970588235294,0.9997740095643756
194,0.9329794049263,0.8740934133529663,0.050413255,0.9929378531073446,0.8798498122653317,0.9329794293297943,0.9999808681972107
195,0.9105691313743591,0.8354128003120422,0.040460862,0.9760348583877996,0.8533333333333334,0.9105691056910569,0.9999579541203049
196,0.9534883499145508,0.9102275371551514,0.029585078,0.984,0.924812030075188,0.9534883720930233,0.9999847257081542
197,0.8634361028671265,0.7581494450569153,0.017482132,1.0,0.7596899224806202,0.8634361233480177,0.9999999999961834
198,1.0,3.8146963561302982e-06,0.00017284298,0.0,0.0,0.0,0.9999999999961853
199,1.0,3.8146963561302982e-06,0.00014080302,0.0,0.0,0.0,0.9999999999961853
